gid,role,role_score,cluster_id,priority_score,evidence
100000000343175100,distributor,1.0,9,0.840393,"distributor: вход. рёбер 8, исход. 31; суммы 178712.00/4000039.00 KZT; транзакций 47, depth 0, seed=да"
100000000456947100,peripheral,0.5,14,0.175,"peripheral: вход. рёбер 0, исход. 0; суммы 0.00/0.00 KZT; транзакций 0, depth 0, seed=да"
100000000580561100,distributor,0.75,20,0.68035,"distributor: вход. рёбер 2, исход. 3; суммы 27980.00/1488077.00 KZT; транзакций 16, depth 0, seed=да"
100000001415126100,terminal,0.75,47,0.41431,"terminal: вход. рёбер 1, исход. 0; суммы 27000.00/0.00 KZT; транзакций 1, depth 0, seed=да"
100000001429930100,terminal,0.75,10,0.413755,"terminal: вход. рёбер 1, исход. 0; суммы 26000.00/0.00 KZT; транзакций 1, depth 0, seed=да"
100000001616816100,coordinator,1.0,2,0.75168,"coordinator: вход. рёбер 5, исход. 3; суммы 176195.00/181326.00 KZT; транзакций 22, depth 0, seed=да"
100000001732159100,coordinator,0.75,40,0.622538,"coordinator: вход. рёбер 2, исход. 4; суммы 2378100.00/1505966.00 KZT; транзакций 53, depth 0, seed=да"
100000002527114100,distributor,1.0,27,0.964556,"distributor: вход. рёбер 3, исход. 111; суммы 129000.00/3289249.00 KZT; транзакций 117, depth 0, seed=да"
100000002916006100,peripheral,0.35,47,0.27681,"peripheral: вход. рёбер 0, исход. 1; суммы 0.00/32000.00 KZT; транзакций 1, depth 0, seed=да"
100000003016635100,distributor,1.0,4,0.924418,"distributor: вход. рёбер 8, исход. 73; суммы 586981.00/9414081.00 KZT; транзакций 187, depth 0, seed=да"
100000003200071100,peripheral,0.35,58,0.27586,"peripheral: вход. рёбер 0, исход. 1; суммы 0.00/30000.00 KZT; транзакций 1, depth 0, seed=да"
100000003265658100,peripheral,0.5,59,0.175,"peripheral: вход. рёбер 0, исход. 0; суммы 0.00/0.00 KZT; транзакций 0, depth 0, seed=да"
100000003349739100,peripheral,0.5,60,0.175,"peripheral: вход. рёбер 0, исход. 0; суммы 0.00/0.00 KZT; транзакций 0, depth 0, seed=да"
100000003684369100,distributor,0.8926904332045538,3,0.898542,"distributor: вход. рёбер 24, исход. 62; суммы 3848436.00/8588655.00 KZT; транзакций 125, depth 0, seed=да"
100000003770083100,peripheral,0.5,63,0.175,"peripheral: вход. рёбер 0, исход. 0; суммы 0.00/0.00 KZT; транзакций 0, depth 0, seed=да"
100000003975102100,distributor,0.5,4,0.55141,"distributor: вход. рёбер 1, исход. 2; суммы 25650.00/88500.00 KZT; транзакций 3, depth 0, seed=да"
100000003977183100,distributor,1.0,2,0.761705,"distributor: вход. рёбер 2, исход. 4; суммы 123800.00/766000.00 KZT; транзакций 8, depth 0, seed=да"
100000004007116100,coordinator,0.875,32,0.558732,"coordinator: вход. рёбер 3, исход. 4; суммы 764704.00/148000.00 KZT; транзакций 30, depth 0, seed=да"
100000004019124100,terminal,1.0,4,0.534136,"terminal: вход. рёбер 3, исход. 0; суммы 193000.00/0.00 KZT; транзакций 3, depth 0, seed=да"
100000004021459100,peripheral,0.5,66,0.175,"peripheral: вход. рёбер 0, исход. 0; суммы 0.00/0.00 KZT; транзакций 0, depth 0, seed=да"
100000004041163100,distributor,0.5,47,0.582047,"distributor: вход. рёбер 1, исход. 2; суммы 50000.00/866000.00 KZT; транзакций 7, depth 0, seed=да"
100000004174835100,peripheral,0.5,69,0.175,"peripheral: вход. рёбер 0, исход. 0; суммы 0.00/0.00 KZT; транзакций 0, depth 0, seed=да"
100000004193835100,peripheral,0.35,4,0.306924,"peripheral: вход. рёбер 1, исход. 1; суммы 47000.00/5000.00 KZT; транзакций 2, depth 0, seed=да"
100000004269433100,peripheral,0.35,70,0.332101,"peripheral: вход. рёбер 0, исход. 1; суммы 0.00/1372000.00 KZT; транзакций 67, depth 0, seed=да"
100000004358004100,distributor,1.0,3,0.571613,"distributor: вход. рёбер 0, исход. 11; суммы 0.00/980850.00 KZT; транзакций 17, depth 0, seed=да"
100000004388983100,distributor,0.5,71,0.369922,"distributor: вход. рёбер 0, исход. 2; суммы 0.00/450816.00 KZT; транзакций 23, depth 0, seed=да"
100000004714705100,peripheral,0.35,47,0.278766,"peripheral: вход. рёбер 0, исход. 1; суммы 0.00/36550.00 KZT; транзакций 1, depth 0, seed=да"
100000004723755100,peripheral,0.35,3,0.292818,"peripheral: вход. рёбер 0, исход. 1; суммы 0.00/95000.00 KZT; транзакций 5, depth 0, seed=да"
100000004813068100,distributor,0.75,18,0.452977,"distributor: вход. рёбер 0, исход. 3; суммы 0.00/297000.00 KZT; транзакций 5, depth 0, seed=да"
100000004971871100,peripheral,0.35,52,0.322549,"peripheral: вход. рёбер 1, исход. 1; суммы 25400.00/5650.00 KZT; транзакций 4, depth 0, seed=да"
100000005017150100,peripheral,0.5,73,0.175,"peripheral: вход. рёбер 0, исход. 0; суммы 0.00/0.00 KZT; транзакций 0, depth 0, seed=да"
100000005087431100,peripheral,0.5,74,0.175,"peripheral: вход. рёбер 0, исход. 0; суммы 0.00/0.00 KZT; транзакций 0, depth 0, seed=да"
100000005235389100,peripheral,0.5,75,0.175,"peripheral: вход. рёбер 0, исход. 0; суммы 0.00/0.00 KZT; транзакций 0, depth 0, seed=да"
100000005264990100,distributor,0.5,47,0.554315,"distributor: вход. рёбер 1, исход. 2; суммы 17070.00/122000.00 KZT; транзакций 3, depth 0, seed=да"
100000005370580100,terminal,0.75,10,0.412623,"terminal: вход. рёбер 1, исход. 0; суммы 24075.00/0.00 KZT; транзакций 1, depth 0, seed=да"
100000005382566100,coordinator,1.0,47,0.580277,"coordinator: вход. рёбер 7, исход. 1; суммы 393066.00/50000.00 KZT; транзакций 12, depth 0, seed=да"
100000005386383100,transit,0.75,47,0.585627,"transit: вход. рёбер 2, исход. 1; суммы 37500.00/29000.00 KZT; транзакций 3, depth 0, seed=да"
100000005392290100,peripheral,0.35,64,0.290557,"peripheral: вход. рёбер 0, исход. 1; суммы 0.00/81465.00 KZT; транзакций 1, depth 0, seed=да"
100000005395727100,terminal,0.75,4,0.407504,"terminal: вход. рёбер 1, исход. 0; суммы 17000.00/0.00 KZT; транзакций 1, depth 0, seed=да"
100000005409680100,terminal,1.0,8,0.513988,"terminal: вход. рёбер 2, исход. 0; суммы 55060.00/0.00 KZT; транзакций 2, depth 0, seed=да"
100000005417257100,distributor,0.5,47,0.348625,"distributor: вход. рёбер 0, исход. 2; суммы 0.00/106000.00 KZT; транзакций 2, depth 0, seed=да"
100000005454368100,terminal,1.0,10,0.512152,"terminal: вход. рёбер 2, исход. 0; суммы 48600.00/0.00 KZT; транзакций 2, depth 0, seed=да"
100000005480435100,peripheral,0.5,76,0.175,"peripheral: вход. рёбер 0, исход. 0; суммы 0.00/0.00 KZT; транзакций 0, depth 0, seed=да"
100000005485830100,distributor,1.0,54,0.542782,"distributor: вход. рёбер 0, исход. 5; суммы 0.00/275885.00 KZT; транзакций 9, depth 0, seed=да"
